word, event, baseline, diff
help,0.0832,0.0904,-0.0072
red,0.0832,0.0212,0.0620
possible,0.0832,0.0543,0.0289
air,0.0832,0.0350,0.0482
moving,0.0832,0.0169,0.0663
federal,0.0826,0.0905,-0.0079
deaths,0.0826,0.0009,0.0817
inches,0.0826,0.0089,0.0736
obama,0.0820,0.0000,0.0820
christie,0.0820,0.0003,0.0817
times,0.0820,0.0416,0.0404
path,0.0820,0.0092,0.0728
evacuation,0.0820,0.0006,0.0814
use,0.0814,0.0852,-0.0038
28,0.0814,0.0037,0.0777
august,0.0814,0.0066,0.0748
warning,0.0814,0.0062,0.0752
low,0.0808,0.0272,0.0537
effect,0.0808,0.0256,0.0552
street,0.0802,0.0269,0.0533
recovery,0.0797,0.0101,0.0696
year,0.0797,0.1814,-0.1018
jamaica,0.0791,0.0003,0.0788
brooklyn,0.0785,0.0030,0.0755
research,0.0779,0.0297,0.0482
higher,0.0779,0.0289,0.0490
p.m.,0.0779,0.0065,0.0714
members,0.0773,0.0510,0.0263
wednesday,0.0773,0.0040,0.0733
government,0.0767,0.1429,-0.0661
way,0.0767,0.1255,-0.0488
last,0.0761,0.1166,-0.0405
email,0.0750,0.0000,0.0750
hours,0.0744,0.0219,0.0525
credit,0.0744,0.0174,0.0570
information,0.0738,0.0332,0.0406
mayor,0.0738,0.0047,0.0691
staff,0.0732,0.0129,0.0604
customers,0.0732,0.0044,0.0688
2014,0.0732,0.0000,0.0732
rainfall,0.0732,0.0004,0.0728
today,0.0726,0.0671,0.0056
tunnels,0.0726,0.0003,0.0723
left,0.0720,0.0554,0.0166
world,0.0720,0.2058,-0.1338
destroyed,0.0720,0.0055,0.0666
saturday,0.0715,0.0070,0.0645
says,0.0715,0.0223,0.0491
food,0.0709,0.0249,0.0460
shore,0.0709,0.0065,0.0644
rights,0.0709,0.0278,0.0431
park,0.0703,0.0103,0.0600
house,0.0697,0.0756,-0.0059
2015,0.0697,0.0000,0.0697
however,0.0691,0.0663,0.0028
occurred,0.0691,0.0082,0.0609
county,0.0691,0.0164,0.0528
reserved,0.0685,0.0033,0.0652
noaa,0.0685,0.0000,0.0685
data,0.0679,0.0186,0.0493
cause,0.0679,0.0253,0.0426
reported,0.0679,0.0138,0.0542
4,0.0679,0.0328,0.0351
strong,0.0679,0.0447,0.0232
toward,0.0679,0.0611,0.0068
mid-atlantic,0.0674,0.0001,0.0673
issued,0.0674,0.0056,0.0618
27,0.0674,0.0043,0.0630
comment,0.0674,0.0047,0.0626
connecticut,0.0668,0.0019,0.0649
track,0.0668,0.0056,0.0612
gov,0.0668,0.0000,0.0668
satellite,0.0668,0.0017,0.0650
damaged,0.0656,0.0014,0.0642
making,0.0656,0.0409,0.0247
result,0.0650,0.0322,0.0328
relief,0.0650,0.0140,0.0510
away,0.0650,0.0550,0.0100
fire,0.0650,0.0220,0.0430
september,0.0650,0.0108,0.0542
scientists,0.0650,0.0058,0.0593
6,0.0650,0.0211,0.0439
trees,0.0644,0.0106,0.0538
southern,0.0644,0.0150,0.0494
point,0.0638,0.0494,0.0145
number,0.0633,0.0599,0.0034
blog,0.0633,0.0000,0.0633
forecasters,0.0633,0.0001,0.0632
please,0.0633,0.0086,0.0546
lost,0.0627,0.0228,0.0398
via,0.0627,0.0050,0.0576
bloomberg,0.0627,0.0000,0.0627
energy,0.0621,0.0321,0.0300
25,0.0615,0.0141,0.0474
full,0.0615,0.0474,0.0141
open,0.0615,0.0436,0.0179
authority,0.0615,0.0201,0.0414
less,0.0609,0.0611,-0.0002
surges,0.0609,0.0002,0.0607
5,0.0609,0.0324,0.0285
later,0.0609,0.0452,0.0158
killed,0.0609,0.0094,0.0516
haiti,0.0603,0.0006,0.0597
event,0.0597,0.0095,0.0503
original,0.0597,0.0112,0.0485
tree,0.0592,0.0063,0.0529
ago,0.0592,0.0468,0.0124
nasa,0.0592,0.0005,0.0586
cross,0.0586,0.0064,0.0522
work,0.0586,0.1404,-0.0818
services,0.0586,0.0246,0.0340
8,0.0586,0.0175,0.0411
update,0.0586,0.0005,0.0581
26,0.0586,0.0036,0.0550
nws,0.0580,0.0000,0.0580
nj,0.0580,0.0000,0.0580
american,0.0574,0.1395,-0.0821
impact,0.0574,0.0093,0.0481
irene,0.0574,0.0004,0.0570
management,0.0568,0.0195,0.0373
nearly,0.0568,0.0258,0.0310
percent,0.0568,0.0346,0.0223
2017,0.0568,0.0000,0.0568
move,0.0568,0.0309,0.0260
archived,0.0568,0.0000,0.0568
among,0.0562,0.0544,0.0018
shut,0.0562,0.0063,0.0500
lines,0.0562,0.0239,0.0324
michael,0.0562,0.0015,0.0547
sustained,0.0562,0.0043,0.0519
say,0.0562,0.0760,-0.0198
transportation,0.0556,0.0106,0.0450
great,0.0556,0.1213,-0.0656
global,0.0556,0.0076,0.0480
reports,0.0556,0.0099,0.0458
communities,0.0551,0.0171,0.0380
need,0.0551,0.0814,-0.0263
maximum,0.0551,0.0112,0.0438
massive,0.0551,0.0069,0.0482
click,0.0551,0.0003,0.0547
risk,0.0545,0.0098,0.0447
policy,0.0545,0.0471,0.0074
february,0.0545,0.0076,0.0469
waves,0.0545,0.0056,0.0489
gusts,0.0545,0.0003,0.0542
efforts,0.0539,0.0330,0.0209
gas,0.0539,0.0127,0.0412
five,0.0539,0.0363,0.0176
2016,0.0539,0.0000,0.0539
levels,0.0533,0.0159,0.0374
staten,0.0533,0.0005,0.0528
associated,0.0533,0.0069,0.0464
january,0.0533,0.0141,0.0392
governor,0.0527,0.0106,0.0421
set,0.0527,0.0538,-0.0011
queens,0.0521,0.0010,0.0511
potential,0.0521,0.0112,0.0409
error,0.0521,0.0043,0.0478
warming,0.0515,0.0014,0.0501
press,0.0515,0.0163,0.0353
cyclone,0.0515,0.0001,0.0514
a.m.,0.0515,0.0041,0.0474
big,0.0510,0.0432,0.0078
part,0.0510,0.0715,-0.0205
key,0.0510,0.0142,0.0368
place,0.0510,0.0714,-0.0204
search,0.0510,0.0102,0.0408
evening,0.0510,0.0160,0.0349
50,0.0510,0.0142,0.0368
ice,0.0510,0.0048,0.0461
events,0.0504,0.0144,0.0360
community,0.0504,0.0435,0.0069
season,0.0504,0.0115,0.0388
station,0.0504,0.0123,0.0380
battery,0.0504,0.0020,0.0484
n.j.,0.0504,0.0002,0.0502
threat,0.0504,0.0146,0.0358
came,0.0498,0.0698,-0.0201
cuomo,0.0498,0.0000,0.0498
electricity,0.0498,0.0033,0.0465
systems,0.0498,0.0176,0.0322
waters,0.0498,0.0057,0.0441
12,0.0498,0.0161,0.0336
31,0.0498,0.0056,0.0442
bus,0.0498,0.0040,0.0458
life,0.0498,0.1027,-0.0529
victims,0.0492,0.0050,0.0442
though,0.0492,0.0490,0.0002
models,0.0492,0.0050,0.0442
stations,0.0492,0.0088,0.0404
shelters,0.0492,0.0027,0.0465
n.y.,0.0492,0.0013,0.0479
11,0.0492,0.0089,0.0402
administration,0.0486,0.0366,0.0120
man,0.0486,0.1389,-0.0902
7,0.0486,0.0149,0.0337
tunnel,0.0486,0.0011,0.0475
death,0.0486,0.0323,0.0163
cold,0.0486,0.0225,0.0261
facebook,0.0486,0.0000,0.0486
study,0.0486,0.0300,0.0186
live,0.0486,0.0328,0.0158
provided,0.0480,0.0192,0.0288
used,0.0480,0.0716,-0.0236
schools,0.0480,0.0388,0.0092
photo,0.0480,0.0012,0.0468
mass,0.0480,0.0146,0.0334
read,0.0480,0.0207,0.0274
authorities,0.0480,0.0062,0.0419
remain,0.0474,0.0199,0.0276
businesses,0.0474,0.0091,0.0384
significant,0.0474,0.0127,0.0348
thursday,0.0474,0.0035,0.0439
canceled,0.0474,0.0007,0.0467
four,0.0469,0.0477,-0.0009
little,0.0469,0.0920,-0.0451
right,0.0469,0.0947,-0.0479
9,0.0469,0.0109,0.0360
10,0.0469,0.0299,0.0169
turn,0.0469,0.0318,0.0151
24,0.0469,0.0060,0.0409
chris,0.0469,0.0015,0.0453
workers,0.0463,0.0283,0.0180
keep,0.0463,0.0481,-0.0019
building,0.0463,0.0278,0.0185
worst,0.0463,0.0055,0.0408
hundreds,0.0463,0.0070,0.0393
line,0.0463,0.0376,0.0086
site,0.0463,0.0070,0.0393
flights,0.0463,0.0019,0.0444
april,0.0463,0.0093,0.0370
rail,0.0463,0.0020,0.0443
2012-10-29,0.0463,0.0000,0.0463
view,0.0457,0.0221,0.0236
police,0.0457,0.0217,0.0240
terms,0.0457,0.0204,0.0253
insurance,0.0457,0.0197,0.0259
end,0.0457,0.0636,-0.0179
announced,0.0457,0.0107,0.0350
watches,0.0457,0.0004,0.0453
friday,0.0457,0.0063,0.0394
scientific,0.0457,0.0123,0.0333
agency,0.0451,0.0098,0.0353
issue,0.0451,0.0237,0.0214
land,0.0451,0.0364,0.0087
maryland,0.0451,0.0027,0.0424
within,0.0451,0.0507,-0.0056
millions,0.0451,0.0208,0.0243
university,0.0451,0.0223,0.0228
late,0.0451,0.0203,0.0248
evacuations,0.0451,0.0000,0.0451
fema,0.0445,0.0002,0.0443
six,0.0445,0.0259,0.0186
close,0.0445,0.0284,0.0161
updates,0.0445,0.0000,0.0445
latest,0.0445,0.0046,0.0399
pennsylvania,0.0445,0.0056,0.0390
20,0.0445,0.0163,0.0283
note,0.0439,0.0147,0.0292
top,0.0439,0.0247,0.0192
supplies,0.0433,0.0088,0.0345
addition,0.0433,0.0192,0.0241
media,0.0433,0.0023,0.0411
coastline,0.0433,0.0001,0.0432
follow,0.0433,0.0142,0.0291
go,0.0433,0.0871,-0.0438
canada,0.0433,0.0048,0.0385
hospital,0.0433,0.0149,0.0284
15,0.0433,0.0178,0.0255
rising,0.0422,0.0139,0.0283
thousands,0.0422,0.0103,0.0319
future,0.0422,0.0626,-0.0205
extreme,0.0422,0.0071,0.0351
history,0.0422,0.0551,-0.0130
ordered,0.0422,0.0077,0.0345
roads,0.0422,0.0069,0.0353
bring,0.0416,0.0330,0.0086
look,0.0416,0.0527,-0.0111
effects,0.0416,0.0121,0.0294
16,0.0416,0.0082,0.0334
rains,0.0416,0.0005,0.0411
working,0.0416,0.0381,0.0035
places,0.0416,0.0147,0.0269
dangerous,0.0410,0.0091,0.0319
become,0.0410,0.0496,-0.0086
taken,0.0410,0.0383,0.0027
shows,0.0410,0.0112,0.0298
england,0.0410,0.0159,0.0251
housing,0.0410,0.0216,0.0194
delaware,0.0410,0.0030,0.0380
june,0.0410,0.0151,0.0259
ground,0.0410,0.0226,0.0184
afternoon,0.0410,0.0114,0.0296
sign,0.0410,0.0119,0.0291
atmospheric,0.0410,0.0010,0.0400
especially,0.0404,0.0241,0.0163
houses,0.0404,0.0102,0.0302
bermuda,0.0404,0.0010,0.0394
december,0.0404,0.0081,0.0323
airports,0.0404,0.0011,0.0393
powerful,0.0398,0.0114,0.0284
makes,0.0398,0.0230,0.0168
stock,0.0398,0.0158,0.0240
tides,0.0398,0.0007,0.0391
islands,0.0398,0.0036,0.0362
photos,0.0398,0.0007,0.0391
front,0.0398,0.0245,0.0153
2012-10-30.,0.0398,0.0000,0.0398
2012-10-29.,0.0398,0.0000,0.0398
severe,0.0392,0.0052,0.0340
andrew,0.0392,0.0015,0.0377
must,0.0392,0.2657,-0.2264
current,0.0392,0.0184,0.0208
support,0.0392,0.0508,-0.0116
financial,0.0392,0.0163,0.0230
might,0.0392,0.0761,-0.0369
longer,0.0392,0.0288,0.0104
come,0.0392,0.0925,-0.0532
privacy,0.0392,0.0024,0.0369
member,0.0392,0.0176,0.0217
daily,0.0392,0.0140,0.0253
worked,0.0392,0.0187,0.0205
cnn,0.0392,0.0000,0.0392
images,0.0387,0.0039,0.0347
good,0.0387,0.1191,-0.0805
team,0.0387,0.0094,0.0293
causing,0.0387,0.0023,0.0364
